"Facility ID","Facility Name","ZIP Code",Condition,"Measure ID","Measure Name",Score,Sample
010001,"SOUTHEAST HEALTH MEDICAL CENTER",36301,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",72,29
010005,"MARSHALL MEDICAL CENTERS",35957,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,210
010006,"NORTH ALABAMA MEDICAL CENTER",35630,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",86,85
010007,"MIZELL MEMORIAL HOSPITAL",36467,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",65,52
010008,"CRENSHAW COMMUNITY HOSPITAL",36049,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",67,12
010011,"ST. VINCENT'S EAST",35235,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",83,42
010012,"DEKALB REGIONAL MEDICAL CENTER",35968,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",99,84
010016,"SHELBY BAPTIST MEDICAL CENTER",35007,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010018,"CALLAHAN EYE HOSPITAL",35233,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010019,"HELEN KELLER HOSPITAL",35660,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",99,105
010021,"DALE MEDICAL CENTER",36360,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",83,29
010022,"FLOYD CHEROKEE MEDICAL CENTER",35960,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010023,"BAPTIST MEDICAL CENTER SOUTH",36116,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",97,99
010024,"JACKSON HOSPITAL & CLINIC INC",36106,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",92,60
010029,"THE EAST ALABAMA HEALTHCARE AUTHORITY",36801,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",97,154
010033,"UNIVERSITY OF ALABAMA HOSPITAL",35233,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",99,198
010034,"COMMUNITY HOSPITAL INC",36078,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,54
010035,"CULLMAN REGIONAL MEDICAL CENTER",35058,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,82
010036,"ANDALUSIA HEALTH",36420,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",17,103
010039,"HUNTSVILLE HOSPITAL",35801,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",95,74
010040,"GADSDEN REGIONAL MEDICAL CENTER",35903,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",71,51
010044,"MARION REGIONAL MEDICAL CENTER",35570,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010045,"FAYETTE MEDICAL CENTER",35555,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,29
010046,"RIVERVIEW REGIONAL MEDICAL CENTER",35901,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,30
010049,"MEDICAL CENTER ENTERPRISE",36330,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",93,68
010051,"GREENE COUNTY HOSPITAL",35462,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010052,"LAKE MARTIN COMMUNITY HOSPITAL",36853,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",84,31
010055,"FLOWERS HOSPITAL",36302,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",82,67
010056,"ST VINCENT'S BIRMINGHAM",35205,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",95,64
010058,"BIBB MEDICAL CENTER",35042,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,14
010059,"LAWRENCE MEDICAL CENTER",35650,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",88,17
010061,"HIGHLANDS MEDICAL CENTER",35768,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",94,47
